Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-02-01 00:00:00-05:00,195.76021887305416,198.95754097643692,193.49388439388244,198.0547637939453,26375100,0.0,0.0,0.0
2021-02-02 00:00:00-05:00,200.4433162953623,201.2896724996548,198.3180486118948,200.8759002685547,22773100,0.0,0.0,0.0
2021-02-03 00:00:00-05:00,200.96055260136868,201.93856240428067,198.97633690318983,201.47776794433594,23923200,0.0,0.0,0.0
2021-02-04 00:00:00-05:00,202.26770225392437,205.78475246731958,202.2583035558571,205.58726501464844,25400800,0.0,0.0,0.0
2021-02-05 00:00:00-05:00,207.76891834147483,208.61526013707646,205.7282821172387,208.43658447265625,23338800,0.0,0.0,0.0
2021-02-08 00:00:00-05:00,210.4490373568101,213.77801279299575,210.08228728494106,213.7592010498047,20831500,0.0,0.0,0.0
2021-02-09 00:00:00-05:00,213.58994376703646,215.93149645803837,212.81882011757057,214.7654266357422,19510900,0.0,0.0,0.0
2021-02-10 00:00:00-05:00,216.2135956451533,216.5897587385833,211.5398750343023,213.35482788085938,27955400,0.0,0.0,0.0
2021-02-11 00:00:00-05:00,214.53972748130636,215.34846026412478,210.10110304758058,213.11033630371094,25847600,0.0,0.0,0.0
2021-02-12 00:00:00-05:00,212.46145803071892,214.1635691921498,211.24836608495445,213.71217346191406,17440200,0.0,0.0,0.0
2021-02-16 00:00:00-05:00,215.79043706632297,215.94090231230336,211.3894218909081,212.367431640625,22999500,0.0,0.0,0.0
2021-02-17 00:00:00-05:00,210.27975572167938,211.3423967040752,207.78773806730047,210.7029266357422,25042300,0.0,0.0,0.0
2021-02-18 00:00:00-05:00,209.08548005140682,209.61209406730458,206.31134342177384,207.43980407714844,24501500,0.0,0.0,0.0
2021-02-19 00:00:00-05:00,209.19831373794105,212.80939318774,208.92559371305458,211.76556396484375,31238200,0.0,0.0,0.0
2021-02-22 00:00:00-05:00,210.18575301021616,212.89407035549948,209.68734938058518,210.39263916015625,23272100,0.0,0.0,0.0
2021-02-23 00:00:00-05:00,207.7877415799616,209.6873113772722,202.70964747789907,208.5400390625,38646800,0.0,0.0,0.0
2021-02-24 00:00:00-05:00,209.34878545755004,213.89085283364878,208.49304486284163,213.46768188476562,27584900,0.0,0.0,0.0
2021-02-25 00:00:00-05:00,213.27020341532375,214.02251532780753,205.013612820145,205.57785034179688,49961400,0.0,0.0,0.0
2021-02-26 00:00:00-05:00,206.43358898261042,208.98202762736204,202.00436353093355,205.29571533203125,47734200,0.0,0.0,0.0
2021-03-01 00:00:00-05:00,210.15748295216176,213.1949404059472,209.64968076854666,212.5930938720703,26161000,0.0,0.0,0.0
2021-03-02 00:00:00-05:00,212.3297904599764,212.48966873872934,208.34256221786245,208.50242614746094,26895400,0.0,0.0,0.0
2021-03-03 00:00:00-05:00,209.1607490297,210.8910566253002,206.14211661062637,206.2455596923828,33407600,0.0,0.0,0.0
2021-03-04 00:00:00-05:00,205.4837733925534,207.5338226703094,196.9450653903524,200.48092651367188,59126500,0.0,0.0,0.0
2021-03-05 00:00:00-05:00,203.9603674977879,205.14524897403228,194.8574357393655,204.7314910888672,53204300,0.0,0.0,0.0
2021-03-08 00:00:00-05:00,206.28313867214248,209.01966624005416,204.69388353443796,205.70010375976562,40619700,0.0,0.0,0.0
2021-03-09 00:00:00-05:00,209.1513113141598,211.57750958435008,207.75013062251244,210.02586364746094,32247300,0.0,0.0,0.0
2021-03-10 00:00:00-05:00,212.15112429444844,215.32022107474762,211.7749612194333,213.67454528808594,36812000,0.0,0.0,0.0
2021-03-11 00:00:00-05:00,215.86565072113555,218.4329009775351,215.15094804010764,218.37648010253906,25256700,0.0,0.0,0.0
2021-03-12 00:00:00-05:00,218.16017055362124,220.19139356885623,217.57712143010178,219.66477966308594,23732200,0.0,0.0,0.0
2021-03-15 00:00:00-04:00,219.42972414561277,220.54878607905113,218.08497869561907,220.44534301757812,21497400,0.0,0.0,0.0
2021-03-16 00:00:00-04:00,220.0692123520681,220.1350319334235,215.46131073839462,216.75904846191406,24675000,0.0,0.0,0.0
2021-03-17 00:00:00-04:00,215.3202791907773,218.94077263828413,213.80625648444004,218.46116638183594,29422600,0.0,0.0,0.0
2021-03-18 00:00:00-04:00,217.04112086130695,219.04413355328396,211.22012844253408,211.8125762939453,35637200,0.0,0.0,0.0
2021-03-19 00:00:00-04:00,211.1825440932473,214.97229947975302,209.6591086321518,213.4112548828125,40855600,0.0,0.0,0.0
2021-03-22 00:00:00-04:00,214.1071047434275,214.50207954076785,210.74053506376467,211.80316162109375,26128400,0.0,0.0,0.0
